rubr0;rubr1;rubr_1_qty;rubr_1_import_share;rubr_0_qty;rubr_0_import_share
анализаторы;анализаторы нефтепродуктов;2985;0.3;79384;0.44
анализаторы;анализаторы пищевых продуктов;308;0.81;79384;0.44
анализаторы;анализаторы пыли;289;0.63;79384;0.44
анализаторы;анализаторы размеров частиц лазерные;72;0.71;79384;0.44
анализаторы;анализаторы растворенного кислорода;806;0.02;79384;0.44
анализаторы;анализаторы ртути;221;0.05;79384;0.44
анализаторы;анализаторы серы и углерода;806;0.95;79384;0.44
анализаторы;анализаторы сигналов;184;0.82;79384;0.44
анализаторы;анализаторы спектра;1663;0.77;79384;0.44
анализаторы;анализаторы цепей векторные;333;0.55;79384;0.44
анализаторы;анализаторы цифровых сетей;32;1.0;79384;0.44
анализаторы;калибры-скобы;1256;0.48;79384;0.44
анализаторы;компараторы массы;326;0.85;79384;0.44
анализаторы;нагрузки электронные;627;0.94;79384;0.44
анализаторы;преобразователи точки росы;919;0.24;79384;0.44
анализаторы;хромато-масс-спектрометры;168;1.0;79384;0.44
анализаторы;эквиваленты сети;64;0.89;79384;0.44
анализаторы;экспресс-анализаторы (глюкометры) портативные;26646;0.03;79384;0.44
аппаратура;аппаратура;8635;0.05;18149;0.35
аппаратура;аппаратура вибрационного контроля;279;0.0;18149;0.35
аппаратура;аппаратура геодезическая спутниковая;7724;0.74;18149;0.35
аппаратура;аппаратура для контроля параметров;3;0.0;18149;0.35
аппаратура;аппаратура контроля вибраций;138;0.0;18149;0.35
аппаратура;аппаратура контроля механических параметров;269;0.13;18149;0.35
аппаратура;аппаратура повременного учета соединений;1099;0.12;18149;0.35
аппаратура;аппаратура потребителей кнс;2;1.0;18149;0.35
блоки;блоки детектирования;3612;0.0;8908;0.01
блоки;блоки извлечения корня;1197;0.07;8908;0.01
блоки;блоки коррекции объема газа;228;0.0;8908;0.01
блоки;блоки питания и преобразования;2188;0.0;8908;0.01
блоки;блоки питания и сигнализации;1401;0.0;8908;0.01
блоки;блоки электронные;281;0.09;8908;0.01
блоки;ряд дозаторов конструктивно-унифицированный непрерывного;1;0.0;8908;0.01
ваттметры;ваттметры;711;0.07;6323;0.46
ваттметры;ваттметры переносные;422;0.02;6323;0.46
ваттметры;ваттметры поглощаемой мощности;1157;0.19;6323;0.46
ваттметры;ваттметры проходящей мощности;28;0.39;6323;0.46
ваттметры;ваттметры щитовые;73;0.0;6323;0.46
ваттметры;шумомеры;649;0.86;6323;0.46
ваттметры;шумомеры интегрирующие;3283;0.62;6323;0.46
весы;весы;2699;0.68;433078;0.4
весы;весы автомобильные;2319;0.04;433078;0.4
весы;весы автомобильные для статического;18408;0.56;433078;0.4
весы;весы автомобильные электромеханические для;41079;0.08;433078;0.4
весы;весы автомобильные электронные;1264;0.0;433078;0.4
весы;весы бункерные электронные;1130;0.09;433078;0.4
весы;весы бытовые;1;0.0;433078;0.4
весы;весы вагонные;547;0.11;433078;0.4
весы;весы вагонные электронные;123;0.01;433078;0.4
весы;весы для статического взвешивания;522;0.3;433078;0.4
весы;весы конвейерные;5402;0.09;433078;0.4
весы;весы крановые;2079;0.04;433078;0.4
весы;весы крановые электронные;1934;0.14;433078;0.4
весы;весы лабораторные;13545;0.19;433078;0.4
весы;весы лабораторные электронные;9500;0.68;433078;0.4
весы;весы медицинские;3236;0.13;433078;0.4
весы;весы настольные;18356;0.21;433078;0.4
весы;весы настольные электронные;25128;0.01;433078;0.4
весы;весы неавтоматического действия;17065;0.51;433078;0.4
весы;весы платформенные;3789;0.29;433078;0.4
весы;весы платформенные электронные;5475;0.01;433078;0.4
весы;весы подвесные крановые;2377;0.02;433078;0.4
весы;весы рычажные настольные циферблатные;3540;0.03;433078;0.4
весы;весы с многооборотной стрелкой;19;0.95;433078;0.4
весы;весы счетные;390;0.54;433078;0.4
весы;весы товарные;5338;0.03;433078;0.4
весы;весы товарные электронные;2110;0.35;433078;0.4
весы;весы торговые;4265;0.83;433078;0.4
весы;весы торговые электронные;44201;0.37;433078;0.4
весы;весы электронные;134108;0.65;433078;0.4
весы;весы электронные лабораторные;62236;0.38;433078;0.4
весы;весы электронные счетные;322;0.53;433078;0.4
весы;весы-компараторы;493;0.34;433078;0.4
весы;весы-рельсы тензометрические для взвешивания;1;0.0;433078;0.4
весы;часы авиационные;68;0.0;433078;0.4
весы;часы судовые с центральной;9;0.0;433078;0.4
газоанализаторы;газоанализаторы;61602;0.13;112362;0.21
газоанализаторы;газоанализаторы горючих газов персональные;63;0.79;112362;0.21
газоанализаторы;газоанализаторы диоксида углерода;99;0.0;112362;0.21
газоанализаторы;газоанализаторы инфракрасные;3702;0.8;112362;0.21
газоанализаторы;газоанализаторы кислорода;216;0.34;112362;0.21
газоанализаторы;газоанализаторы кислорода и оксида;728;0.33;112362;0.21
газоанализаторы;газоанализаторы многокомпонентные;4312;0.01;112362;0.21
газоанализаторы;газоанализаторы переносные;1962;0.0;112362;0.21
газоанализаторы;газоанализаторы портативные;19940;0.57;112362;0.21
газоанализаторы;газоанализаторы стационарные;8962;0.07;112362;0.21
газоанализаторы;газоанализаторы трассовые;68;0.6;112362;0.21
газоанализаторы;газосигнализаторы;10176;0.03;112362;0.21
газоанализаторы;генераторы аммиака переносные;69;0.0;112362;0.21
газоанализаторы;пробоотборники воздуха автоматические;340;0.18;112362;0.21
газоанализаторы;расходомеры воздуха;88;0.62;112362;0.21
газоанализаторы;сигнализаторы содержания хлора;35;0.11;112362;0.21
генераторы;анализаторы фазовых шумов;27;1.0;11575;0.29
генераторы;анализаторы шума и вибрации;610;0.09;11575;0.29
генераторы;генераторы импульсов;1057;0.11;11575;0.29
генераторы;генераторы сигналов;3725;0.7;11575;0.29
генераторы;генераторы сигналов высокочастотные;4615;0.1;11575;0.29
генераторы;генераторы шума;128;0.51;11575;0.29
генераторы;измерители коэффициента шума;108;0.34;11575;0.29
генераторы;измерители шума и вибрации;137;0.0;11575;0.29
генераторы;преобразователи сигналов;1021;0.0;11575;0.29
генераторы;усилители заряда;147;0.04;11575;0.29
гири;бюретки 2-го класса точности;1622;0.01;48481;0.03
гири;гири 2-го класса;474;0.0;48481;0.03
гири;гири 500 кг м1;289;0.0;48481;0.03
гири;гири класс m1;542;0.14;48481;0.03
гири;гири класса f2;43;0.88;48481;0.03
гири;гири класса точности м1;2593;0.0;48481;0.03
гири;гири классов точности e1,;41958;0.02;48481;0.03
гири;гири образцовые 2-го разряда;547;0.07;48481;0.03
гири;измерители l, с, r;138;0.0;48481;0.03
гири;электрокардиографы 6-канальные;275;0.99;48481;0.03
головки;антенны измерительные;842;0.14;63079;0.32
головки;вертушки гидрометрические;5830;0.02;63079;0.32
головки;головки измерительные;6315;0.51;63079;0.32
головки;камеры инфракрасные;340;1.0;63079;0.32
головки;катушки электрического сопротивления;4247;0.02;63079;0.32
головки;оправы пробные универсальные;285;0.0;63079;0.32
головки;отвертки моментные предельные;534;1.0;63079;0.32
головки;прессы испытательные;950;0.04;63079;0.32
головки;рулетки измерительные металлические;35088;0.3;63079;0.32
головки;рулетки измерительные металлические 2-го;6155;0.82;63079;0.32
головки;трубки напорные;2493;0.09;63079;0.32
дальномеры;высотомеры;78;0.51;72351;0.19
дальномеры;дальномеры лазерные;8289;1.0;72351;0.19
дальномеры;приборы регистрирующие гсп;221;0.0;72351;0.19
дальномеры;сканеры лазерные;151;1.0;72351;0.19
дальномеры;спидометры механические;1532;0.0;72351;0.19
дальномеры;тахографы цифровые;58264;0.05;72351;0.19
дальномеры;тахометры электронные;1937;0.5;72351;0.19
дальномеры;тепловизоры инфракрасные;1843;0.99;72351;0.19
дальномеры;эхолоты;36;0.42;72351;0.19
датчики;датчики горючих и токсичных;25637;0.45;188373;0.17
датчики;датчики давления;60845;0.08;188373;0.17
датчики;датчики избыточного давления;13934;0.01;188373;0.17
датчики;датчики крутящего момента силы;63;1.0;188373;0.17
датчики;датчики перемещений (деформаций);1276;0.91;188373;0.17
датчики;датчики расхода счетчика;1624;0.0;188373;0.17
датчики;датчики сило- и весоизмерительные;89;0.0;188373;0.17
датчики;датчики силоизмерительные тензорезисторные;808;0.51;188373;0.17
датчики;датчики температуры;36686;0.07;188373;0.17
датчики;датчики угла поворота;15312;0.0;188373;0.17
датчики;датчики уровня;1552;0.02;188373;0.17
датчики;датчики-газоанализаторы;29924;0.39;188373;0.17
датчики;измерители угла наклона двухкоординатные;565;0.0;188373;0.17
датчики;термометры-щупы;58;0.0;188373;0.17
дефектоскопы;аудиометры;501;0.49;166284;0.24
дефектоскопы;вакуумметры тепловые;2640;0.2;166284;0.24
дефектоскопы;виброметры;1200;0.21;166284;0.24
дефектоскопы;вискозиметры капиллярные стеклянные;8479;0.16;166284;0.24
дефектоскопы;глубиномеры микрометрические;3616;0.07;166284;0.24
дефектоскопы;дефектоскопы ультразвуковые;5145;0.1;166284;0.24
дефектоскопы;дифрактометры рентгеновские;17890;0.12;166284;0.24
дефектоскопы;иономеры лабораторные;1509;0.0;166284;0.24
дефектоскопы;калориметры бомбовые;646;0.19;166284;0.24
дефектоскопы;кондуктометры;3925;0.3;166284;0.24
дефектоскопы;микроамперметры;54495;0.0;166284;0.24
дефектоскопы;милливольтметры;9657;0.03;166284;0.24
дефектоскопы;поляриметры автоматические;165;0.42;166284;0.24
дефектоскопы;радиометры;1349;0.04;166284;0.24
дефектоскопы;рефлектометры оптические;1215;0.42;166284;0.24
дефектоскопы;ротаметры;5065;0.19;166284;0.24
дефектоскопы;спектрофотометры;5069;0.64;166284;0.24
дефектоскопы;термогигрометры;10333;0.21;166284;0.24
дефектоскопы;термостаты жидкостные;387;0.05;166284;0.24
дефектоскопы;титраторы автоматические;1120;0.88;166284;0.24
дефектоскопы;фазометры;167;0.0;166284;0.24
дефектоскопы;фотометры микропланшетные;3033;0.34;166284;0.24
дефектоскопы;электрокардиографы;28678;0.81;166284;0.24
дозаторы;диспенсеры;3;1.0;54861;0.55
дозаторы;дозаторы;9040;0.15;54861;0.55
дозаторы;дозаторы весовые автоматические;74;0.04;54861;0.55
дозаторы;дозаторы весовые автоматические дискретного;129;0.26;54861;0.55
дозаторы;дозаторы весовые дискретного действия;314;0.2;54861;0.55
дозаторы;дозаторы пипеточные;5826;0.68;54861;0.55
дозаторы;дозаторы пипеточные одно- и;39429;0.62;54861;0.55
дозаторы;дозаторы поршневые;46;0.7;54861;0.55
дозиметры;дозиметры;3253;0.08;11568;0.09
дозиметры;дозиметры индивидуальные;870;0.15;11568;0.09
дозиметры;дозиметры индивидуальные программируемые;1275;0.19;11568;0.09
дозиметры;дозиметры микропроцессорные;1637;0.01;11568;0.09
дозиметры;дозиметры рентгеновского и гамма-излучения;941;0.4;11568;0.09
дозиметры;дозиметры рентгеновского излучения;161;0.07;11568;0.09
дозиметры;дозиметры-радиометры;3152;0.0;11568;0.09
дозиметры;дозиметры-радиометры поисковые;279;0.0;11568;0.09
измерители;измерители артериального давления и;312560;0.45;691877;0.38
измерители;измерители артериального давления механические;240809;0.41;691877;0.38
измерители;измерители влажности и температуры;11617;0.04;691877;0.38
измерители;измерители деформации клейковины;3623;0.15;691877;0.38
измерители;измерители защитного слоя бетона;1173;0.18;691877;0.38
измерители;измерители иммитанса;675;0.37;691877;0.38
измерители;измерители комбинированные;13653;0.74;691877;0.38
измерители;измерители крутящего момента силы;437;0.71;691877;0.38
измерители;измерители ксвн панорамные;248;0.0;691877;0.38
измерители;измерители мощности;1745;0.27;691877;0.38
измерители;измерители напряженности магнитного поля;5501;0.13;691877;0.38
измерители;измерители нелинейных искажений;1192;0.17;691877;0.38
измерители;измерители объема;104;0.45;691877;0.38
измерители;измерители параметров электроустановок;5272;0.49;691877;0.38
измерители;измерители разности фаз;474;0.0;691877;0.38
измерители;измерители сопротивления заземления;16780;0.21;691877;0.38
измерители;измерители уровня;4611;0.05;691877;0.38
измерители;измерители цифровые;2805;0.15;691877;0.38
измерители;измерители-регуляторы микропроцессорные;32125;0.0;691877;0.38
измерители;индикаторы часового типа с;34040;0.1;691877;0.38
измерители;преобразователи уровня буйковые;943;0.38;691877;0.38
измерители;регуляторы температуры;1490;0.46;691877;0.38
ик-пирометры;ик-пирометры;327;0.09;526;0.35
ик-пирометры;кс тестеры;192;0.79;526;0.35
ик-пирометры;уф-радиометры;7;0.14;526;0.35
источники;источники излучения оптические измерительные;52;1.0;18449;0.54
источники;источники калиброванных сигналов;76;0.01;18449;0.54
источники;источники напряжения и тока;381;0.01;18449;0.54
источники;источники оптического излучения;66;0.09;18449;0.54
источники;источники первичные точного времени;161;0.33;18449;0.54
источники;источники питания постоянного тока;17101;0.55;18449;0.54
источники;источники питания программируемые;612;0.74;18449;0.54
калибраторы;калибраторы;696;0.86;16682;0.45
калибраторы;калибраторы акустические;1257;0.39;16682;0.45
калибраторы;калибраторы давления;3535;0.36;16682;0.45
калибраторы;калибраторы многофункциональные;5229;0.65;16682;0.45
калибраторы;калибраторы мощности волноводные;36;0.0;16682;0.45
калибраторы;калибраторы процессов многофункциональные;352;1.0;16682;0.45
калибраторы;калибраторы температуры;1639;0.23;16682;0.45
калибраторы;калибраторы токовой петли;460;0.47;16682;0.45
калибраторы;калибраторы электрических сигналов;710;0.98;16682;0.45
калибраторы;калибраторы-измерители стандартных сигналов;2466;0.04;16682;0.45
калибраторы;калибраторы-контроллеры давления;302;0.26;16682;0.45
каналы;каналы измерительные скорости и;2893;0.34;2901;0.34
каналы;каналы измерительные стенда проверки;8;0.0;2901;0.34
клещи;клещи для измерений сопротивления;28;1.0;10148;0.89
клещи;клещи токовые;261;0.96;10148;0.89
клещи;клещи токовые многофункциональные;759;1.0;10148;0.89
клещи;клещи токоизмерительные ручные;3408;0.92;10148;0.89
клещи;клещи электроизмерительные;5383;0.88;10148;0.89
клещи;клещи электроизмерительные переменного тока;309;0.21;10148;0.89
ключи;ключи динамометрические;740;0.69;10520;0.91
ключи;ключи динамометрические предельные;3125;1.0;10520;0.91
ключи;ключи моментные предельные;2461;1.0;10520;0.91
ключи;ключи моментные предельные регулируемые;2911;0.95;10520;0.91
ключи;ключи моментные шкальные;1212;0.62;10520;0.91
ключи;ключи моментные шкальные со;71;0.0;10520;0.91
колбы;колбы;14964;0.01;53395;0.01
колбы;колбы 2-го класса точности;130;0.0;53395;0.01
колбы;колбы мерные;38294;0.0;53395;0.01
колбы;колбы мерные с одной;7;0.0;53395;0.01
колонки;колонки автозаправочные компримированного природного;136;0.15;27895;0.68
колонки;колонки газораздаточные;18;0.61;27895;0.68
колонки;колонки для заправки сжиженным;301;0.04;27895;0.68
колонки;колонки для отпуска сжиженного;100;0.0;27895;0.68
колонки;колонки маслораздаточные;6;0.0;27895;0.68
колонки;колонки раздаточные сжиженного газа;617;0.97;27895;0.68
колонки;колонки раздаточные сжиженного углеводородного;16;0.0;27895;0.68
колонки;колонки топливораздаточные;26646;0.69;27895;0.68
колонки;колонки топливораздаточные комбинированные;55;1.0;27895;0.68
комплексы;комплексы автоматики и телемеханики;1090;0.0;115226;0.03
комплексы;комплексы аппаратно-программные;1599;0.0;115226;0.03
комплексы;комплексы гамма-спектрометрические мобильные;1;1.0;115226;0.03
комплексы;комплексы градуировки резервуаров;341;0.0;115226;0.03
комплексы;комплексы для измерения количества;4746;0.0;115226;0.03
комплексы;комплексы измерительно-вычислительные;1818;0.39;115226;0.03
комплексы;комплексы измерительно-вычислительные и управляющие;3418;0.01;115226;0.03
комплексы;комплексы измерительные;3340;0.11;115226;0.03
комплексы;комплексы измерительные для диагностирования;13212;0.15;115226;0.03
комплексы;комплексы контрольно-проверочные;22;0.0;115226;0.03
комплексы;комплексы многониточные измерительные микропроцессорные;1336;0.14;115226;0.03
комплексы;комплексы поверочные портативные;556;0.0;115226;0.03
комплексы;комплексы программно-технические;886;0.0;115226;0.03
комплексы;комплексы технических средств;421;0.01;115226;0.03
комплексы;комплексы цифровой радиографии;48;0.0;115226;0.03
комплексы;программно-аппаратные шифровальные (криптографические) средства;82392;0.0;115226;0.03
комплекты;комплекты для измерений соединителей;29;0.0;33179;0.03
комплекты;комплекты измерительные;1487;0.43;33179;0.03
комплекты;комплекты мер внутриглазного давления;63;0.0;33179;0.03
комплекты;комплекты нивелирных реек;19;0.32;33179;0.03
комплекты;комплекты образцовые волноводных нагрузок;58;0.0;33179;0.03
комплекты;комплекты светофильтров;314;0.0;33179;0.03
комплекты;комплекты термометров сопротивления;5190;0.0;33179;0.03
комплекты;комплекты термопреобразователей сопротивления платиновых;26019;0.01;33179;0.03
контроллеры;акселерометры;3376;0.84;61918;0.15
контроллеры;анализаторы паров этанола;3172;0.59;61918;0.15
контроллеры;аппараты высоковольтные испытательные;1890;0.13;61918;0.15
контроллеры;генераторы сигналов свч;163;0.74;61918;0.15
контроллеры;генераторы функциональные;2378;0.24;61918;0.15
контроллеры;излучатели в виде модели;149;0.36;61918;0.15
контроллеры;имитаторы расхода;302;0.04;61918;0.15
контроллеры;контроллеры программируемые;13630;0.14;61918;0.15
контроллеры;контроллеры сетевые индустриальные;5735;0.16;61918;0.15
контроллеры;потенциометры, мосты уравновешенные;3055;0.02;61918;0.15
контроллеры;приемники измерительные;1669;0.1;61918;0.15
контроллеры;проекторы измерительные;306;0.13;61918;0.15
контроллеры;секундомеры механические;23564;0.0;61918;0.15
контроллеры;терминалы микропроцессорные;2021;0.0;61918;0.15
контроллеры;усилители измерительные;502;0.51;61918;0.15
контроллеры;фильтры;6;1.0;61918;0.15
копры;копры вертикальные;1;1.0;388;0.25
копры;копры маятниковые;244;0.4;388;0.25
копры;копры маятниковые для испытания;142;0.0;388;0.25
копры;копры маятниковые с цифровой;1;0.0;388;0.25
линейки;альфа-бета радиометры для измерений;267;0.05;46892;0.1
линейки;гамма-спектрометры;49;0.35;46892;0.1
линейки;дозиметры гамма-излучения;3375;0.0;46892;0.1
линейки;комплекты мер моделей дефектов;569;0.07;46892;0.1
линейки;линейки поверочные;36940;0.08;46892;0.1
линейки;линейки поверочные с широкой;5399;0.32;46892;0.1
линейки;линии измерительные;78;0.03;46892;0.1
линейки;наборы мер;215;0.0;46892;0.1
магазины;магазины емкости;218;0.06;7097;0.02
магазины;магазины мер сопротивлений заземления;12;1.0;7097;0.02
магазины;магазины мер сопротивлений петли;404;0.02;7097;0.02
магазины;магазины нагрузок;371;0.0;7097;0.02
магазины;магазины сопротивления;4699;0.02;7097;0.02
магазины;магазины электрического сопротивления;1393;0.04;7097;0.02
манометры;манометры;709423;0.01;1747196;0.11
манометры;манометры грузопоршневые;1274;0.05;1747196;0.11
манометры;манометры деформационные;13190;1.0;1747196;0.11
манометры;манометры деформационные с трубчатой;231902;0.53;1747196;0.11
манометры;манометры дифференциальные;3901;0.26;1747196;0.11
манометры;манометры избыточного давления грузопоршневые;20628;0.0;1747196;0.11
манометры;манометры мембранные точные;3551;0.06;1747196;0.11
манометры;манометры показывающие;619198;0.06;1747196;0.11
манометры;манометры показывающие деформационные;26026;0.17;1747196;0.11
манометры;манометры технические;8337;0.12;1747196;0.11
манометры;манометры цифровые;3124;0.14;1747196;0.11
манометры;манометры шинные ручного пользования;645;0.0;1747196;0.11
манометры;манометры, вакуумметры, мановакуумметры показывающие;105427;0.01;1747196;0.11
манометры;манометры-термометры глубинные;570;0.01;1747196;0.11
масс-спектрометры;масс-спектрометры;39;0.62;113;0.81
масс-спектрометры;масс-спектрометры изотопные;12;1.0;113;0.81
масс-спектрометры;масс-спектрометры квадрупольные;13;0.46;113;0.81
масс-спектрометры;масс-спектрометры с индуктивно связанной;49;1.0;113;0.81
машины;машины для испытаний;102;0.0;3712;0.31
машины;машины для испытания на;745;0.12;3712;0.31
машины;машины для испытания пружин;100;0.26;3712;0.31
машины;машины измерительные;51;0.39;3712;0.31
машины;машины испытательные;478;0.51;3712;0.31
машины;машины испытательные универсальные;396;0.49;3712;0.31
машины;машины контрольно-мерильные;32;0.03;3712;0.31
машины;машины координатно-измерительные мобильные;150;1.0;3712;0.31
машины;машины координатные измерительные;129;0.65;3712;0.31
машины;машины разрывные;300;0.0;3712;0.31
машины;машины разрывные для испытания;800;0.06;3712;0.31
машины;машины разрывные испытательные;55;0.0;3712;0.31
машины;машины трехкоординатные измерительные;107;1.0;3712;0.31
машины;машины универсальные для испытания;7;0.29;3712;0.31
машины;машины универсальные испытательные;260;0.75;3712;0.31
мегаомметры;мегаомметры;22692;0.01;26530;0.02
мегаомметры;мегаомметры цифровые;451;0.61;26530;0.02
мегаомметры;мегомметры;1608;0.0;26530;0.02
мегаомметры;омметры;892;0.03;26530;0.02
мегаомметры;омметры переносные;348;0.0;26530;0.02
мегаомметры;омметры цифровые;539;0.01;26530;0.02
мерники;мерники газовые колокольные;1;0.0;8057;0.0
мерники;мерники металлические;18;0.0;8057;0.0
мерники;мерники металлические технические;131;0.0;8057;0.0
мерники;мерники металлические технические 1-го;2732;0.0;8057;0.0
мерники;мерники образцовые;120;0.0;8057;0.0
мерники;мерники цилиндрические шкальные;12;0.0;8057;0.0
мерники;мерники эталонные 2-го разряда;5043;0.0;8057;0.0
меры;меры длины концевые плоскопараллельные;13750;0.05;20943;0.06
меры;меры для поверки пульсовых;112;0.05;20943;0.06
меры;меры потока (течи гелиевые);269;0.07;20943;0.06
меры;меры твердости;2077;0.13;20943;0.06
меры;меры твердости (микротвердости) эталонные;490;0.0;20943;0.06
меры;меры электрического сопротивления;3269;0.01;20943;0.06
меры;меры электрического сопротивления однозначные;976;0.25;20943;0.06
метроштоки;метроштоки;5605;0.0;5740;0.0
метроштоки;метроштоки сборные;49;0.0;5740;0.0
метроштоки;метроштоки составные;86;0.0;5740;0.0
микрометры;динамометры образцовые переносные 3-го;5627;0.0;191774;0.2
микрометры;динамометры электронные;4816;0.01;191774;0.2
микрометры;микрометры;56111;0.12;191774;0.2
микрометры;микрометры гладкие;5367;0.52;191774;0.2
микрометры;микрометры рычажные;2067;0.21;191774;0.2
микрометры;микрометры трубные;366;0.0;191774;0.2
микрометры;микрометры цифровые;2989;0.87;191774;0.2
микрометры;нутромеры индикаторные с ценой;8055;0.19;191774;0.2
микрометры;нутромеры микрометрические;7826;0.36;191774;0.2
микрометры;штангенциркули;89514;0.14;191774;0.2
микрометры;штангенциркули цифровые;1856;0.96;191774;0.2
микрометры;штангенциркули электронные;7180;0.87;191774;0.2
микроскопы;аспираторы;22207;0.0;28592;0.09
микроскопы;корректоры;1513;0.02;28592;0.09
микроскопы;микроскопы инструментальные;1595;0.08;28592;0.09
микроскопы;мониторы экг холтеровские компьютеризированные;61;0.41;28592;0.09
микроскопы;пробники напряжения;228;0.37;28592;0.09
микроскопы;тонометры автоматические;2966;0.78;28592;0.09
микроскопы;шагомеры;10;0.0;28592;0.09
микроскопы;экг-регистраторы c принадлежностями;12;1.0;28592;0.09
модули;модули;1363;0.52;14997;0.12
модули;модули аналогового ввода;4805;0.0;14997;0.12
модули;модули взвешивающие;5792;0.04;14997;0.12
модули;модули измерительные;3037;0.26;14997;0.12
мониторы;мониторы анестезиологические и реаниматологические;2231;0.12;9502;0.56
мониторы;мониторы матери и плода;15;1.0;9502;0.56
мониторы;мониторы пациента;3462;0.88;9502;0.56
мониторы;мониторы прикроватные;3687;0.52;9502;0.56
мониторы;мониторы реанимационно-хирургические;106;0.55;9502;0.56
мониторы;мониторы скорой помощи;1;0.0;9502;0.56
мосты;мосты;137;0.04;1924;0.01
мосты;мосты автоматические следящего уравновешивания;1297;0.0;1924;0.01
мосты;мосты для измерения сопротивлений;1;0.0;1924;0.01
мосты;мосты переменного тока высоковольтные;112;0.0;1924;0.01
мосты;мосты постоянного тока;377;0.01;1924;0.01
наборы;наборы грузов специальных;1;1.0;5662;0.11
наборы;наборы мер длины концевые;609;0.01;5662;0.11
наборы;наборы оптических мер;37;0.0;5662;0.11
наборы;наборы пробных очковых линз;4447;0.13;5662;0.11
наборы;наборы стеклянных мер оптической;568;0.01;5662;0.11
нивелиры;буссоли;5;0.0;33800;0.47
нивелиры;нивелиры;1937;0.82;33800;0.47
нивелиры;нивелиры оптические;4857;0.98;33800;0.47
нивелиры;нивелиры с компенсатором;3211;1.0;33800;0.47
нивелиры;ротаметры с местными показаниями;5128;0.59;33800;0.47
нивелиры;скобы с отсчетным устройством;1394;0.25;33800;0.47
нивелиры;теодолиты;825;0.04;33800;0.47
нивелиры;теодолиты электронные;753;0.99;33800;0.47
нивелиры;тестеры с транспортным модулем;37;1.0;33800;0.47
нивелиры;угломеры маятниковые;1558;0.19;33800;0.47
нивелиры;угломеры с нониусом;4357;0.08;33800;0.47
нивелиры;угольники поверочные 90°;3470;0.01;33800;0.47
нивелиры;угольники поверочные 90° слесарные;3430;0.2;33800;0.47
нивелиры;штангензубомеры с нониусами;372;0.37;33800;0.47
нивелиры;штангенциркули с цифровым отсчетом;2466;0.32;33800;0.47
осциллографы;амперметры;27294;0.51;86958;0.56
осциллографы;амперметры и вольтметры цифровые;1984;0.6;86958;0.56
осциллографы;амперметры щитовые;1226;0.35;86958;0.56
осциллографы;анемометры сигнальные цифровые;2542;0.08;86958;0.56
осциллографы;вольтметры;4013;0.02;86958;0.56
осциллографы;вольтметры универсальные;9881;0.35;86958;0.56
осциллографы;вольтметры щитовые;676;0.39;86958;0.56
осциллографы;курвиметры дорожные;459;0.11;86958;0.56
осциллографы;мультиметры;4326;0.48;86958;0.56
осциллографы;мультиметры цифровые;17712;0.99;86958;0.56
осциллографы;осциллографы;1707;0.61;86958;0.56
осциллографы;осциллографы универсальные;1961;0.13;86958;0.56
осциллографы;осциллографы цифровые;4176;1.0;86958;0.56
осциллографы;осциллографы цифровые запоминающие;2205;0.93;86958;0.56
