cluster_name;import_share;qty;meassure;delta
для измерений размеров частиц в коллоидных системах.;1.0;1;единицы;± 0,1
для измерений разности высот (превышений) между точками;1.0;1;;
для измерения массовой доли серы в потоке;1.0;1;%;±30
для определения массы различных грузов.;1.0;1;кг;t
для измерений температуры, давления и расхода жидкости;1.0;1;км/ч;±1
для преобразования статиче- ской и медленно изменяющейся;1.0;1;В;± 0,2 45
для преобразований измерительных и управляющих электрических сигналов;1.0;1;кГц;±1·10-6
для измере- ний модуля и трёх взаимно-перпендикулярных;1.0;1;А/м;±10
для статического взвешивания автотранспортных средств.;0.0;0;т:………….;±1,0
для осуществления эффективного автоматизированного коммерческого учета и;0.0;0;В;± 0,9
для автоматического взвешивания предварительно заданных и фактически;0.0;0;;
для передачи сигнала измерительной информации измерительным приборам;0.0;0;;
для взвешивания в движении железнодорожных вагонов и;0.0;0;т;± 0,5
для автоматизированных измерений массы нефти.;0.0;0;т;±0,25
для определения суточных дебитов по жидкости, нефти;0.0;0;;
для транспортирования и кратковременного хранения нефтепродуктов плотностью;0.0;0;дм3;± 0,4
для транспортировки нефтепродуктов плотностью не более 860;0.0;0;л;±0,4
для учёта электрической энергии переменного тока частотой;0.0;0;;
для поверки индукционных и электрон- ных одно-;0.0;0;не;"±5;"
для измерений и учета количества тепловой энергии,;0.0;0;м3/ч;10,25
для воспроизведения шумового сигнала с известным выходным;0.0;0;кВ;± 0,1.
для измерения активной и реактивной электрической энергии.;0.0;0;А;±1,0
для измерений напряженности электростатического поля в свободном;0.0;0;дБ:;± 2,0
для измерений объёма холодной питьевой по санпин;0.0;0;м3/ч;±5
для измерений глубины залегания, координат и эквивалентного;0.0;0;м;±0,3
для измерений приращений активной и реактивной электрической;0.0;0;;
для измерений скорости движения транспортных средств (тс),;0.0;0;км/ч;±1
для измерений времени в шкале времени utc;0.0;0;;
для измерений температуры (газа и пара), давления;0.0;0;кг/ч;"±1,0; 2,0"
для измерения активной и реактивной электроэнергии, потребленной;0.0;0;;
для измерения теп- ловой энергии и объема;0.0;0;оC;± 6,0
для измерения активной и реактивной электроэнергии, сбора,;0.0;0;;
для измерения массы и сортировки фасованных товаров.;0.0;0;г;±2)
для измерения мощности амбиентного эквивалента дозы или;0.0;0;мкЗв/ч;±15 %
для измерения объема нефти и нефтепродуктов, а;0.0;0;м3;±0,25
для измерения объема, а также приема, хранения;0.0;0;м3;±0,2
для измерения параметров электрических сетей постоянного тока;0.0;0;А;± 0,1
для измерения плотности газа (в том числе;0.0;0;кг/м3:;±0,25
для измерения объёма сырого рассола, а также;0.0;0;м3;±0,20
