"filename";"color";"type";"value"
"2009-38558-09.pdf";"0,174,237";"2";"±3"
"2009-40366-09.pdf";"255,255,0";"0";"Устройство для поверки системы RM312 по параметру планшетности"
"2009-40366-09.pdf";"0,174,237";"2";"± 0,1"
"2009-40366-09.pdf";"0,255,0";"1";"единицы 1"
"2009-40421-09.pdf";"255,255,0";"0";"Весы - компаратор НС-30КЕ"
"2009-40421-09.pdf";"0,174,237";"2";"Среднеквадратическое отклонение (СКО), не более, г	 0,222"
"2009-40421-09.pdf";"0,255,0";"1";"кг"
"2009-40543-09.pdf";"255,240,102";"0";"Преобразователи Parity расхода турбинные Parity"
"2009-40543-09.pdf";"142,221,249";"2";"+ 0,15"
"2009-40543-09.pdf";"142,221,249";"2";"Пределы измерении допускаемой объема, %(при относительной отклонении погрешности вязкости измеряе- при измерении мой среды от объема, вязкости %(при при отклонении поверке не более вязкости 3 сСт) измеряе- Импульсный выходной сигнал"
"2009-40698-09.pdf";"255,240,102";"0";"Система измерительная ОАО «Автокран» автоматизированная коммерческого информационно учета электроэнергии - ОАО «Автокран»"
"2009-40698-09.pdf";"142,221,249";"2";"Основная погрешно сть, % сть, %"
"2009-40698-09.pdf";"142,221,249";"2";"±1,42"
"2009-40767-09.pdf";"255,240,102";"0";"Термометры ""'ТИ сопротивления моделей 2G, 2сои платиновые ""'ТИ моделей 2G, 2сои"
"2009-40767-09.pdf";"124,240,102";"1";"°С минус"
"2009-40767-09.pdf";"124,240,102";"1";"от"
"2009-40960-09.pdf";"255,240,102";"0";"СЧЕТЧИКИ ЭНЕРГИИ ТРЕХФАЗНЫЕ ЭЛЕКТРИЧЕСКОЙ СТАТИЧЕСКИЕ ЭНЕРГИИ ТРЕХФАЗНЫЕ ПСЧ-4АР.05.2М СТАТИЧЕСКИЕ ПСЧ-4АР.05.2М ПСЧ-4АР.05.2М"
"2009-40960-09.pdf";"124,240,102";"1";"режиме реактивной (А) имп/кВт энергии •ч"
"2009-41078-09.pdf";"255,240,102";"0";"Счетчики диафрагменные газа объёмные диафрагменные ГАММА 66 ГАММА 66"
"2009-41078-09.pdf";"142,221,249";"2";"+ :1:3 1,5"
"2009-41078-09.pdf";"124,240,102";"1";"з/ч мз/ч"
"2009-41078-09.pdf";"142,221,249";"2";"Пределы не расходов допускаемой при температуре относительной +20 °С, (%): мин погрешности < Q < 0,1 оном в диапазо- оном мин < < Q Q < < 0,1 омакс оном"
"2009-41141-09.pdf";"255,255,0";"0";"AFL оптические	 281, AFL 321	 моделей	 (с AFL 241, AFL 281, AFL 321	 321	 (с функцией автофокусирования)"
"2009-41141-09.pdf";"255,255,0";"0";"Ни в ел и р ы высокоточные"
"2009-41141-09.pdf";"0,174,237";"2";"Средняя квадратическая погрешность измерения превышений на 1 км двойного кода, мм 2,0 f 1,5 0,8"
"2009-41169-09.pdf";"255,240,102";"0";"Трансформаторы тока ТВЛ-0,66"
"2009-41169-09.pdf";"124,240,102";"1";"А"
"2009-41169-09.pdf";"124,240,102";"1";"Номинальный первичный ток,"
"2009-41175-09.pdf";"255,240,102";"0";"непрерывного Дозаторы весовые действия непрерывного ВДН действия ВДН"
"2009-41175-09.pdf";"124,240,102";"1";"т/ч"
"2009-41175-09.pdf";"124,240,102";"1";"Диапазон Пределы допускаемой предельной производительности	 погрешности"
"2009-41175-09.pdf";"142,221,249";"2";"по Пределы ГОСТ 30124-94, допускаемой от погрешности НПП .	 Максимальная по ГОСТ 30124-94, скорость °/о от ленты, НПП .	 не более , м/с 	 +0,25;"
"2009-41243-09.pdf";"255,255,0";"0";"ГЕНЕРАТОР ШУМА 346В"
"2009-41243-09.pdf";"0,174,237";"2";"Пределы допускаемой абсолютной погрешности воспроизведения уровня ИОШТ, дБ : от 0,1 до 4,0 ГГц 	 0,30;"
"2009-41243-09.pdf";"0,255,0";"1";"дБ"
"2009-41437-09.pdf";"255,255,0";"0";"Аппаратура телемеханики присоединения АТГI"
"2009-41437-09.pdf";"0,174,237";"2";"Пределы допускаемой приведенной погрешности измерений величин : - - напряжение переменного тока фазное, °/о 0,2"
"2009-41437-09.pdf";"0,255,0";"1";"В"
"2009-41713-09.pdf";"255,240,102";"0";"рН-метр РС-310"
"2009-41713-09.pdf";"124,240,102";"1";"рН"
"2009-41713-09.pdf";"142,221,249";"2";"± 0,05"
"2009-41713-09.pdf";"124,240,102";"1";"Диапазон измерений"
"2009-41713-09.pdf";"142,221,249";"2";"рН Пределы допускаемой абсолютной погрешности измерений рН"
"2009-41775-09.pdf";"255,240,102";"0";"Весы электронные «RUBIS С-18»"
"2009-41775-09.pdf";"124,240,102";"1";"кг"
"2009-41775-09.pdf";"124,240,102";"1";"(НПВ) кг"
"2009-41775-09.pdf";"142,221,249";"2";"Пределы допускаемой погрешности, кг"
"2009-41775-09.pdf";"142,221,249";"2";"t 1"
"2009-41999-09.pdf";"255,255,0";"0";"Весы вагонные ВЭВ"
"2009-41999-09.pdf";"0,255,0";"1";"Интервалы взвешивания"
"2009-41999-09.pdf";"0,255,0";"1";"св. 50 т до 200 т вкл ."
"2009-41999-09.pdf";"0,174,237";"2";"Пределы допускаемой погрешности ненагруженных весов после применения устройст- ва установки на нуль, нуль, кг	 пределов + допус- 0,25 е"
"2009-42507-09.pdf";"255,255,0";"0";"Анализаторы цифро - аналоговые серии ЕАТ, ЕАТ, СОЕОР. модели ЕАТ TV/S/S2/С/ТС/STC TV/S/S2/С/ТС/STC, ЕАТ СОЕОР. TV/S/S2/С/ТС/STC"
"2009-42507-09.pdf";"0,174,237";"2";"Пределы допускаемой абсолютной погрешности измерения уровня сигнала, сигнала, абсолютной дБмкВ f 1,5"
"2009-42507-09.pdf";"0,255,0";"1";"дБмкВ"
"2009-42645-09.pdf";"255,255,0";"0";"Система автоматизированная информацион- но-измерительная коммерческого учета элек- троэнергии области «Владимирское (АНИС КУЭ) карьероуправленне» ГУП Владимирской области «Владимирское карьероуправленне»"
"2009-42645-09.pdf";"0,174,237";"2";"допускаемых погрешностей измерения активной электрической энергии"
"2009-42645-09.pdf";"0,174,237";"2";"Х3,8 f5,7"
"2009-42834-09.pdf";"255,240,102";"0";"нефтепродуктах Анализаторы промышленные общей серы в нефтепродуктах модель С6200$ промышленные модель С6200$"
"2009-42834-09.pdf";"124,240,102";"1";"°/о	 °/о"
"2009-42834-09.pdf";"142,221,249";"2";"±30"
"2009-42834-09.pdf";"124,240,102";"1";"Диапазон Диапазон показаний измерений массовой массовой доли доли серы, серы,"
"2009-42834-09.pdf";"142,221,249";"2";"Пределы допускаемой относительной погрешности, °/о - в диапазоне массовых долей серы от 0,0005 до 0,0025 °/о"
"2009-42977-09.pdf";"255,255,0";"0";"Система автоматизированная информационно-измерительная коммерческого учета электроэнергии АИИС КУЭ ПС 110/10 кВ М 549 «ПОРТ»"
"2009-42977-09.pdf";"0,174,237";"2";"Предел допускаемой абсолютной погрешности кода часов, с/сутки +5"
"2009-42983-09.pdf";"255,255,0";"0";"Система автоматизированная информационно - измерительная коммерческого учета электроэнергии ФГУП (АИИС «УЭ НЦЧ КУЭ) РАН» ФГУП «УЭ НЦЧ РАН»"
"2009-42983-09.pdf";"0,174,237";"2";"Погрешность в рабочих усло- виях, виях, °/о"
"2009-42983-09.pdf";"0,174,237";"2";"f1,7"
"2009-43035-09.pdf";"255,255,0";"0";"Система автоматизированная информационно- измерительная коммерческого учета электрической энергии ПС 220/110/10 кВ «Снежная» - АИИС КУЭ ПС 220/110/10 кВ «Снежная»"
"2009-43035-09.pdf";"0,174,237";"2";"± %"
"2009-43035-09.pdf";"0,174,237";"2";"± 2,3%"
"2009-43157-09.pdf";"255,240,102";"0";"Измеритель ЛИП-01 М перемещений лазерный ЛИП-01 М"
"2009-43157-09.pdf";"124,240,102";"1";"погрешности м"
"2009-43157-09.pdf";"142,221,249";"2";"0,01...0,001 Х1,0*"
"2009-43157-09.pdf";"124,240,102";"1";"погрешности"
"2009-43157-09.pdf";"142,221,249";"2";"мерений Пределы скорости, допускаемой °/о ускорения, относительной мм/с2 погрешности из-"
"2009-43185-09.pdf";"255,240,102";"0";"Весы напольные РВ РВ"
"2009-43185-09.pdf";"124,240,102";"1";"кг"
"2009-43185-09.pdf";"124,240,102";"1";"предел"
"2009-43185-09.pdf";"142,221,249";"2";"первичной Пределы поверке допускаемой погрешности эксплуатации при"
"2009-43185-09.pdf";"142,221,249";"2";"первичной f 1 е поверке"
"2009-43185-09.pdf";"142,221,249";"2";"f f 1 1 е е"
"2009-43257-09.pdf";"255,240,102";"0";"Генераторы газовых смесей паров этанола в воздухе Alcotest СУЗ4"
"2009-43257-09.pdf";"124,240,102";"1";"мг/мз"
"2009-43257-09.pdf";"124,240,102";"1";"Диапазон воспроизведения массовой концентрации этанола в газовых смесях,"
"2009-43257-09.pdf";"142,221,249";"2";"Пределы допускаемой погрешности воспроизведения массовой концентрации этанола в газовых смесях"
"2009-43257-09.pdf";"142,221,249";"2";"абсолютной"
"2009-43257-09.pdf";"142,221,249";"2";"абсолютной н 4 мг/мз"
"2009-43422-09.pdf";"255,240,102";"0";"нефтяного	 Система измерений	 газа	 ДНС	 количества 2 нефтяного	 Среднеугутского	 газа	 месторождения ДНС	 2 Среднеугутского	 000 «РН — Юганскнефтегаз» месторождения нефтяного	 Система Среднеугутского	 000 Система измерений	 количества нефтяного	 газа	 ДНС	 Среднеугутского	 месторождения 000 «РН — Юганскнефтегаз»"
"2009-43422-09.pdf";"142,221,249";"2";"Пределы погрешности допускаемой измерений относительной : погрешности - объемного измерений расхода : - объемного нормальным расхода условиям, условиям, газа, приведенного к объема нормальным газа, приведенного условиям, °/о"
"2009-43422-09.pdf";"142,221,249";"2";"3,0"
"2009-43521-09.pdf";"255,254,10";"0";"модификаций Уровнемеры модификаций Уровнемеры ULM-SSN-02, ультразвуковые ULM-SSN-02, ультразвуковые ULM-SSN-06, ULM-55N-IO, модификаций ULM-55N-IO, модификаций Уровнемеры ULM-55Xi-02, ULM-SSN-02, ультразвуковые ULM-55Xi-06, ULM-SSN-06, ULM-55N-IO, ULM-SЗN-02, модификаций ULM-55Xi-02, ULM-SЗN-06, ULM-SSN-02, ULM-SЗN-10, ULM-55Xi-06, ULM-SSN-06, ULM-55N-IO, ULM-SЗN-02, ULM-55Xi-02, ULM-SЗN-06, ULM-SЗN-10, ULM-55Xi-06, ULM-SЗN-20 ULM-SЗN-06, ULM-SЗN-20"
"2009-43521-09.pdf";"142,221,249";"2";"не более более"
"2009-43521-09.pdf";"55,229,0";"1";"величин Диапазон изм-ннй Пределы допускаемой величин •mnвня допускаемой величин •mnвня допускаемой основно величин изм-ннй допускаемой м основно"
"2009-43521-09.pdf";"55,229,255";"2";"Пределы приведенной допускаемой погрешности основно vnnвня, %"
"2009-43521-09.pdf";"55,229,255";"2";"основно измерений й"
"2009-43521-09.pdf";"55,229,255";"2";"Диапазон Пределы приведенной Диапазон изм-ннй •mnвня м приведенной допускаемой погрешности основно измерений измерений й"
"2009-43521-09.pdf";"55,229,255";"2";"приведенной vnnвня, Пределы % допускаемой"
"2009-43521-09.pdf";"55,229,255";"2";"::1:.0,5"
"2009-43535-09.pdf";"255,240,102";"0";"Анализаторы штабе времени спектра аАЗ4О8В И$АЗЗОЗВ, в реальном И8А3308В, мас- аАЗ4О8В"
"2009-43535-09.pdf";"142,221,249";"2";"Пределы го отсчета допускаемой частоты абсолютной погрешности маркерно-"
"2009-43535-09.pdf";"142,221,249";"2";"f Ооп•F +0,001 0,1 •ПО+2) Гц Гц, где воп - погрешность опорной час- воп значение воп значение тоты, - погрешность ПО измеренной - полоса опорной обзора, частоты F час- - час- значение измеренной f 2.10-7 частоты"
"2010-14981-10.pdf";"255,240,102";"0";"Спектрометры «КВАНТ атомно-абсорбционные - .ЭТА» (модификации «КВАНТ «КВАНТ - .ЭТА» - Z.ЭТА (модификации «КВАНТ (модификации «КВАНТ «КВАНТ - 2.ЭТА - - Z.ЭТА Т») Z.ЭТА Т») -1», «КВАНТ «КВАНТ - 2.ЭТА - Т») Т»)"
"2010-14981-10.pdf";"124,240,102";"1";"зависимости нм"
"2010-14981-10.pdf";"142,221,249";"2";"± 4,0 6,0"
"2010-14981-10.pdf";"124,240,102";"1";"(в зависимости"
"2010-14981-10.pdf";"142,221,249";"2";"± 5,0"
"2010-14981-10.pdf";"142,221,249";"2";"± 060х405х4 4,0"
"2010-15400-07.pdf";"255,240,102";"0";"Датчики тензорезисторные весоизмерительные тензорезисторные 26 26"
"2010-15400-07.pdf";"142,221,249";"2";"Пределы входу при допускаемой первичной Техническая (периодической) погрешности характеристика для поверке класса или точности калибровке, 01 по в входу единицах при поверочного первичной (периодической) интервала (v= Дтах/число поверке или поверочнох калибровке, ин- в тервалов): единицах до 50v поверочного вкл. интервала (v= Дтах/число поверочнох ин-"
"2010-15400-07.pdf";"142,221,249";"2";"±0,7^)"
"2010-19245-00.pdf";"255,255,0";"0";"Комплекты задатчиков давления КЗД-01"
"2010-19245-00.pdf";"0,174,237";"2";"Предел допускаемой абсолютной погрешности линейного расстояния между торцом вставки «60» и установочной f 0,05 мм. площадкой задатчиков давления с индексами «5», «20», «40», «60» Сила, составляет f 0,05 мм."
"2010-19245-00.pdf";"0,255,0";"1";"5 мм."
"2010-19512-10.pdf";"255,240,102";"0";"диагностические Системы медицинские иммунологические диагностические Elecsys 2010 (Rack/Disk) иммунологические Elecsys 2010 (Rack/Disk)"
"2010-19512-10.pdf";"124,240,102";"1";"ед"
"2010-19512-10.pdf";"142,221,249";"2";"4"
"2010-19512-10.pdf";"124,240,102";"1";"ед . потока электрохемилюминесцентной ячейки"
"2010-19512-10.pdf";"142,221,249";"2";"относительной	 Предел допускаемой погрешности	 случайной при	 составляющей измерении относительной	 электрохемилюминесцентного погрешности	 сигнала при	 измерении (СКО), электрохемилюминесцентного сигнала (СКО),"
"2010-21250-10.pdf";"255,240,102";"0";"Колонки топливораздаточные Нара 7000 Нара 7000"
"2010-21250-10.pdf";"142,221,249";"2";"±0,25'"
"2010-21250-10.pdf";"124,240,102";"1";"основной л"
"2010-21250-10.pdf";"124,240,102";"1";"основной"
"2010-21250-10.pdf";"142,221,249";"2";"погрешности Пределы при допускаемой температуре основной (2015) °С, относительной погрешности Наибольшие при температуре допускаемые (2015) изменения °С, °/о	 действительных"
"2010-26910-04.pdf";"255,240,102";"0";"Контроллеры—сборщики микропроцес- сорные КСМ4"
"2010-26910-04.pdf";"142,221,249";"2";"± 6 0,2"
"2010-26910-04.pdf";"142,221,249";"2";"Пределы вызванной допускаемой изменением приведенной температуры дополнительной окружающей среды погрешности, до верхнего вызванной (нижнего) значения изменением в рабочем температуры диапазоне, окружающей (от 20 мА) среды до верхнего Число (нижнего) подключаемых значения в рабочем термометров диапазоне, сопротивления °/о (от 20 мА) типа"
"2010-26951-04.pdf";"255,240,102";"0";"Е3640А, Меры Е3641А, напряжения Е3642А, и тока Е3643А, Е3644А, Е3640А, Е3644А, Е3640А, Е3641А, Е3645А, Е3642А, Е3646А, Е3647А, Е3643А, Е3647А, Е3643А, Е3644А, Е3644А, Е3645А, Е3648А, Е3646А, Е3649А Е3647А, Е3647А, Е3648А, Е3649А"
"2010-26951-04.pdf";"142,221,249";"2";"1,5 А А"
"2010-26951-04.pdf";"142,221,249";"2";"для (0,0015 канала I 2 + моделей 5 мА)"
"2010-26951-04.pdf";"124,240,102";"1";"5 А А"
"2010-26951-04.pdf";"124,240,102";"1";"Максимальное на выходе : напряжение и сила тока на - диапазон выходе :"
"2010-26951-04.pdf";"142,221,249";"2";"Пределы погрешности допускаемой измерения абсолютной силы погрешности постоянного тока измерения на выходе силы постоянного тока на выходе Разрешающая способность при"
"2010-28102-10.pdf";"255,255,0";"0";"Весы вагонные электромеханические для взвешивания в движении ТСД-ЖД «ИнфаТрэк»"
"2010-28102-10.pdf";"0,174,237";"2";"Пределы допускаемой погоешности в диапазоне"
"2010-28102-10.pdf";"0,174,237";"2";"± 0,5"
"2010-28102-10.pdf";"0,255,0";"1";"т"
"2010-29164-05.pdf";"255,240,102";"0";"Измерители радиопомех П4-17"
"2010-29164-05.pdf";"142,221,249";"2";"радиопомех. t 2,0"
"2010-29164-05.pdf";"142,221,249";"2";"Измерители Пределы допускаемой измеряют основной квазипиковое, относительной пиковое и погрешности среднее значения измерения напряжения напряжения радиопомех."
"2010-29164-05.pdf";"124,240,102";"1";"дБмкВ дБмкВ -2"
"2010-29352-05.pdf";"255,240,102";"0";"Расходомеры УЗР ультразвуковые 2 УЗР 2"
"2010-29352-05.pdf";"124,240,102";"1";"м3/с"
"2010-29352-05.pdf";"142,221,249";"2";"°/о	f1,5 до 700"
"2010-29352-05.pdf";"124,240,102";"1";"Диаметр Диапазон водовода, измерений м	 расхода воды,"
"2010-29352-05.pdf";"142,221,249";"2";"Диапазон Пределы Пределы допускаемой допускаемой измерений расхода относительной относительной воды, м3/с	 погрешности погрешности измерений измерений расхода объема воды, воды, °/о	f1,5 от"
"2010-43802-10.pdf";"255,240,102";"0";"Пробники токовые ТСРООЗО, ТСР0150"
"2010-43802-10.pdf";"124,240,102";"1";"А:"
"2010-31933-06.pdf";"255,240,102";"0";"Система электроэнергии измерительная автоматизированная (АИИС коммерческого КУЭ) информационно- тяговых учета подстанций электроэнергии ОАО ""Российские (АИИС КУЭ) Железные тяговых Дороги"" подстанций электроэнергии подстанций в границах ОАО ""Российские ОАО ""Пензаэнерго"" Железные Дороги"" ""Пензаэнерго"" тяговых Дороги"" Система автоматизированная информационно- в границах ОАО ""Пензаэнерго"" Изготовлена ОАО ""Российские Железные Дороги"" тяговых Дороги"" ""Пензаэнерго"" Дороги"""
"2010-31933-06.pdf";"142,221,249";"2";"Р-0,95: гр Погрешность = 1,0 НИК в рабочих соs Ф = условиях 0,87 эксплуатации, cos % гр ="
"2010-31933-06.pdf";"142,221,249";"2";"2,2"
"2010-32525-10.pdf";"255,240,102";"0";"Регистраторы топливом баке параметров тепловоза, работы число импульсов тепловоза датчика РПРТ"
"2010-32525-10.pdf";"142,221,249";"2";"погрешность Основная погрешность"
"2010-32525-10.pdf";"142,221,249";"2";"±0,25 °/о"
"2010-33234-06.pdf";"255,255,0";"0";"Система автоматизированная информационно-измерительная коммерческого учета электроэнергии ОАО (АИИС ""Российские КУЭ) тяговых Железные подстанций Дороги"" ОАО ""Российские Железные Дороги"" в границах ОАО ""Тулэнерго"""
"2010-33234-06.pdf";"0,174,237";"2";"Доверительные границы относительной погрешности результата измерений количества учтённой активной электрической энергии погрешности при доверительной результата вероятности Р'0,95:"
"2010-33234-06.pdf";"0,174,237";"2";"0,01(0,02)Iн, 5 I, < 0,05I н, 1,1 1,3 1,4 1,3 1,4 1,5"
